id,species_code,common_name,scientific_name
1,amegfi,American Goldfinch,Spinus tristis
2,amekes,American Kestrel,Falco sparverius
3,amerob,American Robin,Turdus migratorius
4,annhum,Anna's Hummingbird,Calypte anna
5,baleag,Bald Eagle,Haliaeetus leucocephalus
6,barswa,Barn Swallow,Hirundo rustica
7,brdowl,Barred Owl,Strix varia
8,belkin1,Belted Kingfisher,Megaceryle alcyon
9,bewwre,Bewick's Wren,Thryomanes bewickii
10,bnhcow,Brown-headed Cowbird,Molothrus ater
11,bkhgro,Black-headed Grosbeak,Pheucticus melanocephalus
12,brebla,Brewer's Blackbird,Euphagus cyanocephalus
13,brncre,Brown Creeper,Certhia americana
14,batpig1,Band-tailed Pigeon,Patagioenas fasciata
15,bushti,Bushtit,Psaltriparus minimus
16,cangoo,Canada Goose,Branta canadensis
17,chbchi,Chestnut-backed Chickadee,Poecile rufescens
18,cedwax,Cedar Waxwing,Bombycilla cedrorum
19,chispa,Chipping Sparrow,Spizella passerina
20,coohaw,Cooper's Hawk,Accipiter cooperii
21,comrav,Common Raven,Corvus corax
22,amecro,American Crow,Corvus brachyrhynchos
23,dowwoo,Downy Woodpecker,Dryobates pubescens
24,eucdov,Eurasian Collared-Dove,Streptopelia decaocto
25,eursta,European Starling,Sturnus vulgaris
26,evegro,Evening Grosbeak,Coccothraustes vespertinus
27,norfli,Northern Flicker,Colaptes auratus
28,foxspa,Fox Sparrow,Passerella iliaca
29,gockin,Golden-crowned Kinglet,Regulus satrapa
30,haiwoo,Hairy Woodpecker,Dryobates villosus
31,houfin,House Finch,Haemorhous mexicanus
32,houspa,House Sparrow,Passer domesticus
33,houwre,House Wren,Troglodytes aedon
34,hutvir,Hutton's Vireo,Vireo huttoni
35,macwar,MacGillivray's Warbler,Geothlypis tolmiei
36,moudov,Mourning Dove,Zenaida macroura
37,norhar1,Hen Harrier,Circus cyaneus
38,orcwar,Orange-crowned Warbler,Oreothlypis celata
39,olsfly,Olive-sided Flycatcher,Contopus cooperi
40,osprey,Osprey,Pandion haliaetus
41,pacwre1,Pacific Wren,Troglodytes pacificus
42,pinsis,Pine Siskin,Spinus pinus
43,pilwoo,Pileated Woodpecker,Dryocopus pileatus
44,pasfly,Pacific-slope Flycatcher,Empidonax difficilis
45,purfin,Purple Finch,Haemorhous purpureus
46,purmar,Purple Martin,Progne subis
47,rebnut,Red-breasted Nuthatch,Sitta canadensis
48,rebsap,Red-breasted Sapsucker,Sphyrapicus ruber
49,redcro,Red Crossbill,Loxia curvirostra
50,rocpig,Rock Pigeon,Columba livia
51,rethaw,Red-tailed Hawk,Buteo jamaicensis
52,rufhum,Rufous Hummingbird,Selasphorus rufus
53,rewbla,Red-winged Blackbird,Agelaius phoeniceus
54,savspa,Savannah Sparrow,Passerculus sandwichensis
55,sora,Sora,Porzana carolina
56,sonspa,Song Sparrow,Melospiza melodia
57,spotow,Spotted Towhee,Pipilo maculatus
58,stejay,Steller's Jay,Cyanocitta stelleri
59,swathr,Swainson's Thrush,Catharus ustulatus
60,towwar,Townsend's Warbler,Setophaga townsendi
61,treswa,Tree Swallow,Tachycineta bicolor
62,daejun,Dark-eyed Junco,Junco hyemalis
63,yerwar,Yellow-rumped Warbler,Setophaga coronata
64,varthr,Varied Thrush,Ixoreus naevius
65,vigswa,Violet-green Swallow,Tachycineta thalassina
66,warvir,Warbling Vireo,Vireo gilvus
67,whcspa,White-crowned Sparrow,Zonotrichia leucophrys
68,westan,Western Tanager,Piranga ludoviciana
69,wilsni1,Wilson's Snipe,Gallinago delicata
70,wlswar,Wilson's Warbler,Cardellina pusilla
71,wooduc,Wood Duck,Aix sponsa
72,yelwar,Yellow Warbler,Setophaga petechia
