run_id,solver,target,n_features,n_pu,species,n_solutions,cost,time
1,gurobi,0.1,10,9282,"annhum,batpig1,coohaw,norfli,pacwre1,pilwoo,treswa,yerwar,wilsni1,wlswar",1,6795973,0.339999999999975
2,gurobi,0.2,10,9282,"bnhcow,amecro,norfli,houspa,norhar1,olsfly,rebnut,rewbla,yerwar,westan",1,20600661,0.34000000000003183
3,gurobi,0.30000000000000004,10,9282,"belkin1,bewwre,cedwax,chispa,coohaw,eucdov,purmar,rocpig,spotow,swathr",1,35301065,0.34000000000003183
4,gurobi,0.4,10,9282,"bkhgro,batpig1,dowwoo,eursta,evegro,macwar,purmar,rocpig,sora,wooduc",1,93818158,0.339999999999975
5,gurobi,0.5,10,9282,"belkin1,bewwre,batpig1,chbchi,cedwax,eucdov,norfli,gockin,purmar,stejay",1,92682869,0.37000000000000455
6,gurobi,0.6,10,9282,"brdowl,bewwre,chispa,eursta,foxspa,pasfly,purfin,rethaw,westan,wlswar",1,241856996,0.37000000000000455
7,gurobi,0.7000000000000001,10,9282,"amerob,bkhgro,brncre,foxspa,houspa,orcwar,pasfly,purmar,rethaw,whcspa",1,1056280446,0.37999999999999545
8,gurobi,0.8,10,9282,"amekes,amecro,foxspa,houspa,moudov,norhar1,rebnut,rocpig,sora,wlswar",1,1923535483,0.3299999999999841
9,gurobi,0.9,10,9282,"belkin1,cangoo,chbchi,eursta,evegro,houfin,norhar1,purfin,purmar,rocpig",1,2773689822,0.2999999999999545
10,gurobi,0.1,26,9282,"amerob,annhum,belkin1,bewwre,bnhcow,brebla,brncre,bushti,chbchi,comrav,eursta,norfli,foxspa,gockin,haiwoo,houwre,osprey,rethaw,rufhum,stejay,treswa,daejun,vigswa,wilsni1,wlswar,wooduc",1,6491631,0.8100000000000023
11,gurobi,0.2,26,9282,"amerob,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,eucdov,norfli,foxspa,gockin,haiwoo,houspa,norhar1,purfin,rebsap,rewbla,sora,stejay,swathr,vigswa,westan,wlswar,yelwar",1,20506273,0.9099999999999682
12,gurobi,0.30000000000000004,26,9282,"amerob,annhum,baleag,barswa,belkin1,bewwre,brebla,batpig1,cangoo,comrav,dowwoo,eucdov,eursta,norfli,houfin,hutvir,olsfly,purfin,rebnut,rocpig,rewbla,sora,sonspa,whcspa,wooduc,yelwar",1,65241405,0.839999999999975
13,gurobi,0.4,26,9282,"amegfi,belkin1,bewwre,bkhgro,brebla,brncre,cedwax,eucdov,norfli,gockin,haiwoo,houfin,houwre,macwar,olsfly,pacwre1,pilwoo,pasfly,rebnut,rebsap,savspa,sonspa,towwar,yerwar,wlswar,wooduc",1,101830206,0.8700000000000045
14,gurobi,0.5,26,9282,"amerob,barswa,belkin1,brncre,batpig1,chbchi,cedwax,eucdov,gockin,houfin,houwre,macwar,pinsis,purmar,rebsap,rocpig,rethaw,spotow,stejay,treswa,daejun,yerwar,vigswa,warvir,whcspa,yelwar",1,238627311,0.8999999999999773
15,gurobi,0.6,26,9282,"amegfi,amekes,annhum,barswa,cedwax,dowwoo,eursta,evegro,houfin,hutvir,moudov,pinsis,purfin,rebnut,rocpig,rethaw,rewbla,savspa,sonspa,spotow,daejun,warvir,whcspa,westan,wooduc,yelwar",1,545679295,0.9499999999999886
16,gurobi,0.7000000000000001,26,9282,"amegfi,amekes,barswa,bkhgro,brncre,cangoo,cedwax,comrav,eucdov,eursta,houfin,hutvir,moudov,orcwar,purfin,purmar,rebsap,rocpig,rewbla,swathr,towwar,treswa,daejun,wilsni1,wlswar,wooduc",1,972879061,0.8599999999999568
17,gurobi,0.8,26,9282,"amerob,barswa,bewwre,bnhcow,bushti,cedwax,chispa,gockin,houspa,houwre,macwar,osprey,pinsis,pilwoo,purmar,rewbla,savspa,spotow,stejay,treswa,yerwar,varthr,vigswa,westan,wilsni1,wooduc",1,1841245610,0.8100000000000023
18,gurobi,0.9,26,9282,"amekes,bewwre,chispa,coohaw,comrav,dowwoo,eucdov,evegro,haiwoo,houfin,houspa,pacwre1,pilwoo,purfin,purmar,rebnut,redcro,rocpig,rufhum,sora,sonspa,yerwar,varthr,whcspa,wilsni1,wlswar",1,3043940507,0.7900000000000205
19,gurobi,0.1,41,9282,"amegfi,amerob,annhum,brdowl,belkin1,bewwre,brncre,batpig1,bushti,cedwax,coohaw,dowwoo,eucdov,eursta,evegro,haiwoo,houspa,houwre,moudov,olsfly,osprey,pacwre1,pinsis,pilwoo,purfin,rebsap,redcro,rocpig,rufhum,spotow,stejay,swathr,treswa,daejun,yerwar,varthr,vigswa,warvir,wilsni1,wooduc,yelwar",1,7515045,0.8799999999999955
20,gurobi,0.2,41,9282,"amegfi,amekes,amerob,annhum,baleag,barswa,bewwre,brebla,brncre,batpig1,bushti,cedwax,coohaw,comrav,eursta,evegro,norfli,gockin,houwre,hutvir,macwar,moudov,norhar1,orcwar,osprey,pasfly,purfin,redcro,rocpig,rethaw,rufhum,savspa,sora,sonspa,stejay,towwar,treswa,yerwar,westan,wilsni1,wooduc",1,25182013,0.8600000000000705
