target,blm,score
0.1,0.1,119656354
0.1,1,120265446
0.1,10,125068873
0.1,100,152272599
0.1,1000,315233912
0.2,0.1,530215975
0.2,1,532458996
0.2,10,544955898
0.2,100,598913699
0.2,1000,956070981
0.3,0.1,1385306649
0.3,1,1390085800
0.3,10,1419959371
0.3,100,1484250621
0.3,1000,2000105903
0.4,0.1,3225004859
0.4,1,3234490930
0.4,10,3295196683
0.4,100,3383968831
0.4,1000,3985745188
0.5,0.1,6530370496
0.5,1,6529621441
0.5,10,6517584250
0.5,100,6658344420
0.5,1000,7275751672
0.6,0.1,11266919756
0.6,1,11007480672
0.6,10,12794983666
0.6,100,18819025183
0.6,1000,26788982806
0.7,0.1,17232818904
0.7,1,16919950788
0.7,10,17434638307
0.7,100,19085488400
0.7,1000,30455922242
0.8,0.1,26195011494
0.8,1,26470989128
0.8,10,28708714054
0.8,100,25673252176
0.8,1000,34391659742
0.9,0.1,39233279900
0.9,1,39337309001
0.9,10,39444962676
0.9,100,38980895584
0.9,1000,38985875945
