Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,120449379,120449379,7494,748800,10170000,1124400,748800,8296800,0.11056,0,0,0,1
2,120373184,120373184,7481,751000,10170000,1120700,751000,8298300,0.110197,0,0,0,1
3,120163821,120163821,7469,748600,10170000,1119500,748600,8301900,0.110079,0,0,0,1
4,121390123,121390123,7465,763400,10170000,1111300,763400,8295300,0.109272,0,0,0,1
5,120783736,120783736,7519,747600,10170000,1130000,747600,8292400,0.111111,0,0,0,1
6,121176160,121176160,7487,753400,10170000,1120700,753400,8295900,0.110197,0,0,0,1
7,120823543,120823543,7501,758400,10170000,1121000,758400,8290600,0.110226,0,0,0,1
8,119902268,119902268,7472,745000,10170000,1121900,745000,8303100,0.110315,0,0,0,1
9,121462473,121462473,7469,757400,10170000,1115100,757400,8297500,0.109646,0,0,0,1
10,119656354,119656354,7483,733000,10170000,1130100,733000,8306900,0.111121,0,0,0,1
