Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,533656568,533656568,13150,1178600,10170000,2040700,1178600,6950700,0.200659,0,0,0,1
2,532422658,532422658,13159,1162000,10170000,2050800,1162000,6957200,0.201652,0,0,0,1
3,536108118,536108118,13150,1173000,10170000,2043500,1173000,6953500,0.200934,0,0,0,1
4,534370985,534370985,13184,1181200,10170000,2046200,1181200,6942600,0.2012,0,0,0,1
5,530082505,530082505,13192,1158000,10170000,2059400,1158000,6952600,0.202498,0,0,0,1
6,532466140,532466140,13190,1158200,10170000,2058900,1158200,6952900,0.202448,0,0,0,1
7,531708547,531708547,13207,1168000,10170000,2057400,1168000,6944600,0.202301,0,0,0,1
8,538965552,538965552,13132,1203800,10170000,2024500,1203800,6941700,0.199066,0,0,0,1
9,529551676,529551676,13173,1166600,10170000,2051300,1166600,6952100,0.201701,0,0,0,1
10,530876589,530876589,13163,1163000,10170000,2051100,1163000,6955900,0.201681,0,0,0,1
