solver,target,blm,dollar_cost
gurobi,0.1,0.1,108116777
gurobi,0.2,0.1,469538911
gurobi,0.3,0.1,1232523461
gurobi,0.4,0.1,2869676541
gurobi,0.5,0.1,5689329959
gurobi,0.6,0.1,9813817606
gurobi,0.7,0.1,15211531477
gurobi,0.8,0.1,21926980494
gurobi,0.9,0.1,30487974087
gurobi,0.1,1,108121134
gurobi,0.2,1,469548184
gurobi,0.3,1,1232536420
gurobi,0.4,1,2869715613
gurobi,0.5,1,5689365759
gurobi,0.6,1,9814040471
gurobi,0.7,1,15211699075
gurobi,0.8,1,21926590437
gurobi,0.9,1,30487974087
gurobi,0.1,10,108438338
gurobi,0.2,10,469754224
gurobi,0.3,10,1232683434
gurobi,0.4,10,2869895998
gurobi,0.5,10,5689312632
gurobi,0.6,10,9813621690
gurobi,0.7,10,15211301151
gurobi,0.8,10,21926588927
gurobi,0.9,10,30490049836
gurobi,0.1,100,113739197
gurobi,0.2,100,477191628
gurobi,0.3,100,1240684165
gurobi,0.4,100,2877575477
gurobi,0.5,100,5696164209
gurobi,0.6,100,9820444676
gurobi,0.7,100,15216358867
gurobi,0.8,100,21931099628
gurobi,0.9,100,30490780704
gurobi,0.1,1000,165685977
gurobi,0.2,1000,586015145
gurobi,0.3,1000,1411764987
gurobi,0.4,1000,3074123583
gurobi,0.5,1000,5875472309
gurobi,0.6,1000,9986567959
gurobi,0.7,1000,15375197701
gurobi,0.8,1000,22051142498
gurobi,0.9,1000,30572147027
rsymphony,0.1,0.1,108113903
rsymphony,0.2,0.1,469535624
rsymphony,0.3,0.1,1232488223
rsymphony,0.4,0.1,2869574543
rsymphony,0.5,0.1,5689271683
rsymphony,0.6,0.1,9813549403
rsymphony,0.7,0.1,15211377195
rsymphony,0.8,0.1,21926169975
rsymphony,0.9,0.1,30487590907
rsymphony,0.1,1,108124040
rsymphony,0.2,1,469539952
rsymphony,0.3,1,1232497429
rsymphony,0.4,1,2869688259
rsymphony,0.5,1,5689159146
rsymphony,0.6,1,9813389002
rsymphony,0.7,1,15211175101
rsymphony,0.8,1,21926563194
rsymphony,0.9,1,30487932534
rsymphony,0.1,10,108433168
rsymphony,0.2,10,469764889
rsymphony,0.3,10,1232655312
rsymphony,0.4,10,2869877733
rsymphony,0.5,10,5689295440
rsymphony,0.6,10,9813554243
rsymphony,0.7,10,15211255263
rsymphony,0.8,10,21926525867
rsymphony,0.9,10,30487519565
rsymphony,0.1,100,113605980
rsymphony,0.2,100,477200265
rsymphony,0.3,100,1240521603
rsymphony,0.4,100,2877637539
rsymphony,0.5,100,5696195624
rsymphony,0.6,100,9820481076
rsymphony,0.7,100,15216266336
rsymphony,0.8,100,21930344471
rsymphony,0.9,100,30489662311
rsymphony,0.1,1000,166904776
rsymphony,0.2,1000,588618960
rsymphony,0.3,1000,1411283756
rsymphony,0.4,1000,3075048802
rsymphony,0.5,1000,5875600887
rsymphony,0.6,1000,9986107682
rsymphony,0.7,1000,15373392258
rsymphony,0.8,1000,22049805604
rsymphony,0.9,1000,30571095414
marxan,0.1,0.1,119656354
marxan,0.2,0.1,530215975
marxan,0.3,0.1,1385306649
marxan,0.4,0.1,3225004859
marxan,0.5,0.1,6530370496
marxan,0.6,0.1,11266919756
marxan,0.7,0.1,17232818904
marxan,0.8,0.1,26195011494
marxan,0.9,0.1,39233279902
marxan,0.1,1,119539646
marxan,0.2,1,531301796
marxan,0.3,1,1388643400
marxan,0.4,1,3232827530
marxan,0.5,1,6527711841
marxan,0.6,1,11005127472
marxan,0.7,1,16917479588
marxan,0.8,1,26468291928
marxan,0.9,1,39335421804
marxan,0.1,10,118884873
marxan,0.2,10,533939898
marxan,0.3,10,1405913371
marxan,0.4,10,3278364683
marxan,0.5,10,6499072250
marxan,0.6,10,12761435666
marxan,0.7,10,17407400307
marxan,0.8,10,28679156054
marxan,0.9,10,39426232678
marxan,0.1,100,116852599
marxan,0.2,100,519493699
marxan,0.3,100,1369710621
marxan,0.4,100,3242348831
marxan,0.5,100,6493368830
marxan,0.6,100,18409345183
marxan,0.7,100,18789968400
marxan,0.8,100,25432072176
marxan,0.9,100,38805155584
marxan,0.1,1000,149239966
marxan,0.2,1000,571540622
marxan,0.3,1000,1393865833
marxan,0.4,1000,3188548958
marxan,0.5,1000,6309751672
marxan,0.6,1000,23084112188
marxan,0.7,1000,27274722245
marxan,0.8,1000,31969459743
marxan,0.9,1000,37534475947
