Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,3414413030,3270913030,23727,1435000,10170000,4027900,1435000,4707100,0.396057,0,0,0,1
2,3426199008,3282019008,23732,1441800,10170000,4025500,1441800,4702700,0.395821,0,0,0,1
3,3414592166,3270732166,23731,1438600,10170000,4026900,1438600,4704500,0.395959,0,0,0,1
4,3402311779,3257671779,23688,1446400,10170000,4014400,1446400,4709200,0.39473,0,0,0,1
5,3396897036,3254217036,23748,1426800,10170000,4036200,1426800,4707000,0.396873,0,0,0,1
6,3408183958,3263683958,23737,1445000,10170000,4024900,1445000,4700100,0.395762,0,0,0,1
7,3412915569,3268995569,23768,1439200,10170000,4034000,1439200,4696800,0.396657,0,0,0,1
8,3383968831,3242348831,23708,1416200,10170000,4033500,1416200,4720300,0.396608,0,0,0,1
9,3412269406,3266889406,23728,1453800,10170000,4018700,1453800,4697500,0.395152,0,0,0,1
10,3418957240.59363,3274735578,23750,1442200,10170000,4028900,1442200,4698900,0.396155,1662.59363,3.79e-4,1,1
