Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,17271478708,17271478708,36510,2671400,10170000,5966300,2671400,1532300,0.586657,0,0,0,1
2,17270770827,17270770827,36517,2657600,10170000,5974600,2657600,1537800,0.587473,0,0,0,1
3,17260204971,17260204971,36520,2662800,10170000,5972600,2662800,1534600,0.587276,0,0,0,1
4,17263755358,17263755358,36505,2668800,10170000,5966600,2668800,1534600,0.586686,0,0,0,1
5,17232818904,17232818904,36523,2659600,10170000,5974800,2659600,1535600,0.587493,0,0,0,1
6,17314835495,17314835495,36508,2666400,10170000,5968400,2666400,1535200,0.586863,0,0,0,1
7,17273011032,17273011032,36481,2653600,10170000,5969400,2653600,1547000,0.586962,0,0,0,1
8,17272039335,17272039335,36471,2670400,10170000,5959000,2670400,1540600,0.585939,0,0,0,1
9,17239403816,17239403816,36505,2635400,10170000,5983300,2635400,1551300,0.588328,0,0,0,1
10,17276245976,17276245976,36533,2652200,10170000,5980500,2652200,1537300,0.588053,0,0,0,1
