solver,target,n_features,n_pu,species,n_solutions,cost,time
gurobi,0.1,10,10000,"amegfi,batpig1,comrav,houwre,hutvir,olsfly,pilwoo,rethaw,swathr,westan",1,3767657,0.3170000000000073
gurobi,0.2,10,10000,"barswa,brdowl,belkin1,bewwre,bkhgro,chispa,houwre,rebsap,stejay,varthr",1,11025343,0.30299999999999727
gurobi,0.30000000000000004,10,10000,"bnhcow,foxspa,osprey,pilwoo,redcro,rewbla,treswa,warvir,westan,yelwar",1,31310570,0.3120000000000118
gurobi,0.4,10,10000,"amekes,amerob,belkin1,rocpig,rufhum,savspa,varthr,whcspa,westan,wooduc",1,95323935,0.3170000000000073
gurobi,0.5,10,10000,"amerob,baleag,brdowl,brebla,cangoo,norfli,houspa,norhar1,pasfly,wilsni1",1,314508228,0.30100000000004457
gurobi,0.6,10,10000,"barswa,batpig1,amecro,gockin,houwre,moudov,osprey,purfin,daejun,yelwar",1,324826363,0.30700000000001637
gurobi,0.7000000000000001,10,10000,"amekes,cangoo,norfli,houwre,purmar,sonspa,yerwar,vigswa,warvir,whcspa",1,420488194,0.24900000000002365
gurobi,0.8,10,10000,"bkhgro,cedwax,evegro,olsfly,pacwre1,rebnut,rethaw,sonspa,stejay,daejun",1,621340926,0.23899999999991905
gurobi,0.9,10,10000,"amecro,norfli,houwre,purmar,rethaw,rewbla,sora,swathr,treswa,wlswar",1,2424545509,0.2699999999999818
gurobi,0.1,41,10000,"amekes,amerob,baleag,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,bushti,cangoo,cedwax,chispa,amecro,eursta,norfli,haiwoo,houspa,hutvir,moudov,olsfly,osprey,pinsis,pasfly,purfin,purmar,rebsap,redcro,rethaw,rewbla,sonspa,spotow,stejay,swathr,towwar,daejun,vigswa,whcspa,westan,yelwar",1,6355422,0.8050000000000637
gurobi,0.2,41,10000,"amegfi,amekes,barswa,brdowl,belkin1,bnhcow,batpig1,bushti,chbchi,norfli,foxspa,gockin,haiwoo,houwre,macwar,moudov,orcwar,olsfly,pinsis,pasfly,purfin,purmar,rebnut,redcro,rethaw,rufhum,rewbla,sora,sonspa,spotow,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,wlswar,wooduc,yelwar",1,16467595,0.9220000000000255
gurobi,0.30000000000000004,41,10000,"amegfi,amekes,amerob,annhum,brdowl,bnhcow,brebla,batpig1,bushti,chbchi,cedwax,chispa,dowwoo,eucdov,evegro,gockin,houspa,houwre,macwar,norhar1,orcwar,osprey,pilwoo,pasfly,purfin,purmar,redcro,rufhum,rewbla,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,vigswa,westan,yelwar",1,74898252,1.0179999999999154
gurobi,0.4,41,10000,"amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,batpig1,bushti,cangoo,cedwax,coohaw,comrav,dowwoo,eursta,houspa,moudov,olsfly,osprey,pacwre1,pasfly,purfin,redcro,rethaw,rufhum,rewbla,savspa,spotow,stejay,swathr,treswa,varthr,vigswa,warvir,whcspa,westan,wooduc,yelwar",1,157826817,1.0590000000000828
gurobi,0.5,41,10000,"amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bkhgro,brncre,batpig1,cedwax,coohaw,comrav,amecro,dowwoo,eursta,haiwoo,houfin,houwre,orcwar,olsfly,osprey,pinsis,purfin,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,savspa,sonspa,spotow,towwar,daejun,vigswa,warvir,whcspa,wilsni1,wlswar,yelwar",1,286611931,0.98599999999999
gurobi,0.6,41,10000,"amegfi,amerob,annhum,brdowl,belkin1,bewwre,bkhgro,brncre,cangoo,cedwax,chispa,comrav,dowwoo,eucdov,eursta,norfli,foxspa,gockin,haiwoo,houspa,macwar,moudov,norhar1,olsfly,pilwoo,pasfly,purfin,rebsap,rufhum,savspa,sora,spotow,stejay,treswa,daejun,yerwar,varthr,warvir,wilsni1,wlswar,yelwar",1,723790220,0.7409999999999854
gurobi,0.7000000000000001,41,10000,"amerob,baleag,barswa,belkin1,bkhgro,brncre,cangoo,chbchi,chispa,comrav,amecro,dowwoo,eucdov,eursta,foxspa,haiwoo,houfin,houspa,houwre,hutvir,moudov,osprey,pacwre1,pinsis,pilwoo,pasfly,purmar,rocpig,rethaw,rufhum,savspa,sora,spotow,stejay,swathr,towwar,yerwar,warvir,whcspa,westan,yelwar",1,1202040768,0.8869999999999436
gurobi,0.8,41,10000,"amegfi,amekes,amerob,annhum,barswa,brdowl,bnhcow,bkhgro,brebla,brncre,cangoo,chbchi,cedwax,chispa,amecro,eursta,foxspa,gockin,houspa,hutvir,macwar,moudov,orcwar,pilwoo,purfin,purmar,rethaw,savspa,sora,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,westan,wooduc",1,2029118019,0.7000000000000455
gurobi,0.9,41,10000,"amerob,annhum,baleag,barswa,brdowl,belkin1,bkhgro,batpig1,chbchi,chispa,coohaw,amecro,norfli,foxspa,haiwoo,houspa,hutvir,macwar,moudov,norhar1,pilwoo,pasfly,purfin,rebnut,redcro,rocpig,rethaw,rufhum,savspa,sora,stejay,daejun,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,3298272712,0.7319999999999709
gurobi,0.1,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,7943447,1.1240000000000236
gurobi,0.2,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,28901619,1.3600000000000136
gurobi,0.30000000000000004,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,74210872,1.6130000000000564
gurobi,0.4,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,155662961,1.7469999999999573
gurobi,0.5,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,336078528,1.8319999999999936
gurobi,0.6,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,649252759,1.7379999999999427
gurobi,0.7000000000000001,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,1306625005,1.3529999999999518
gurobi,0.8,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,1999200414,1.6000000000000227
gurobi,0.9,72,10000,"amegfi,amekes,amerob,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,brncre,batpig1,bushti,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houfin,houspa,houwre,hutvir,macwar,moudov,norhar1,orcwar,olsfly,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,savspa,sora,sonspa,spotow,stejay,swathr,towwar,treswa,daejun,yerwar,varthr,vigswa,warvir,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,3233855258,1.4509999999999081
gurobi,0.1,10,50000,"bushti,comrav,eucdov,houspa,orcwar,osprey,pinsis,purmar,rocpig,wlswar",1,30785323,1.8419999999999845
gurobi,0.2,10,50000,"annhum,belkin1,bnhcow,brncre,eucdov,rebnut,rethaw,sonspa,swathr,yelwar",1,140243690,2.177000000000021
gurobi,0.30000000000000004,10,50000,"chispa,amecro,dowwoo,eucdov,hutvir,pacwre1,purfin,rocpig,spotow,wlswar",1,227391571,1.524000000000001
gurobi,0.4,10,50000,"bnhcow,batpig1,bushti,coohaw,moudov,pinsis,pilwoo,rebsap,westan,wlswar",1,482205174,1.98599999999999
gurobi,0.5,10,50000,"amekes,coohaw,foxspa,gockin,houspa,houwre,pacwre1,savspa,stejay,wooduc",1,1660786387,1.524000000000001
gurobi,0.6,10,50000,"amekes,chispa,dowwoo,rebnut,rebsap,redcro,rufhum,savspa,vigswa,wooduc",1,1107046213,1.5759999999999081
gurobi,0.7000000000000001,10,50000,"amegfi,eursta,norfli,haiwoo,macwar,orcwar,pacwre1,rewbla,daejun,vigswa",1,2622652895,1.4429999999999836
gurobi,0.8,10,50000,"amegfi,amekes,bkhgro,cedwax,evegro,norfli,sora,stejay,westan,yelwar",1,3393352227,1.4880000000000564
gurobi,0.9,10,50000,"bkhgro,cedwax,houfin,houspa,pilwoo,rethaw,sora,whcspa,wooduc,yelwar",1,16031403325,1.4080000000000155
gurobi,0.1,41,50000,"amegfi,amerob,baleag,brdowl,bewwre,bkhgro,brebla,brncre,batpig1,cangoo,comrav,amecro,eucdov,evegro,norfli,haiwoo,houspa,hutvir,macwar,moudov,pacwre1,purfin,rebnut,redcro,rocpig,rethaw,rufhum,rewbla,sora,sonspa,spotow,stejay,treswa,daejun,yerwar,varthr,vigswa,warvir,westan,wlswar,wooduc",1,30748027,8.450000000000045
gurobi,0.2,41,50000,"amekes,annhum,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,batpig1,bushti,cangoo,chispa,coohaw,amecro,dowwoo,eursta,evegro,norfli,gockin,macwar,moudov,orcwar,olsfly,osprey,pinsis,pasfly,rebsap,redcro,rewbla,savspa,sonspa,spotow,swathr,towwar,yerwar,varthr,whcspa,westan,wilsni1,wooduc,yelwar",1,140492275,4.935000000000059
gurobi,0.30000000000000004,41,50000,"amekes,annhum,baleag,barswa,bewwre,bushti,cangoo,cedwax,coohaw,comrav,dowwoo,eursta,evegro,gockin,haiwoo,houfin,houwre,hutvir,moudov,olsfly,osprey,pinsis,purfin,purmar,redcro,rocpig,rufhum,rewbla,savspa,sora,spotow,stejay,towwar,treswa,daejun,vigswa,whcspa,westan,wlswar,wooduc,yelwar",1,351975926,6.423000000000002
gurobi,0.4,41,50000,"amegfi,amerob,baleag,brdowl,bkhgro,brncre,batpig1,bushti,cangoo,chbchi,coohaw,comrav,amecro,evegro,foxspa,gockin,houfin,houspa,houwre,hutvir,macwar,norhar1,osprey,purfin,rebsap,redcro,rocpig,rethaw,rufhum,rewbla,sonspa,stejay,swathr,treswa,varthr,whcspa,westan,wilsni1,wlswar,wooduc,yelwar",1,728737900,5.287999999999897
gurobi,0.5,41,50000,"amekes,amerob,annhum,barswa,brdowl,bewwre,bnhcow,brncre,cangoo,chbchi,cedwax,chispa,coohaw,comrav,amecro,dowwoo,eucdov,eursta,evegro,norfli,foxspa,gockin,houspa,houwre,hutvir,macwar,orcwar,pinsis,pilwoo,pasfly,purfin,purmar,redcro,stejay,swathr,treswa,daejun,yerwar,vigswa,wooduc,yelwar",1,1667036188,5.434000000000083
gurobi,0.6,41,50000,"amegfi,amerob,annhum,barswa,belkin1,brebla,batpig1,bushti,cangoo,chbchi,coohaw,evegro,norfli,foxspa,houwre,hutvir,macwar,norhar1,osprey,pacwre1,pinsis,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,savspa,sonspa,stejay,treswa,daejun,yerwar,varthr,vigswa,westan,wlswar",1,2834229796,5.049000000000092
gurobi,0.7000000000000001,41,50000,"amerob,baleag,barswa,brdowl,belkin1,bewwre,bnhcow,bkhgro,brebla,cangoo,cedwax,chispa,amecro,eucdov,eursta,norfli,houspa,macwar,norhar1,orcwar,olsfly,osprey,pilwoo,pasfly,purfin,purmar,rebnut,rocpig,rethaw,sonspa,stejay,swathr,towwar,treswa,varthr,vigswa,whcspa,wilsni1,wlswar,wooduc,yelwar",1,6028877596,5.0219999999999345
gurobi,0.8,41,50000,"amekes,barswa,brdowl,belkin1,bnhcow,bkhgro,brebla,brncre,bushti,chbchi,cedwax,comrav,eucdov,norfli,foxspa,gockin,haiwoo,houspa,hutvir,macwar,norhar1,orcwar,olsfly,osprey,pacwre1,purfin,purmar,rebnut,rethaw,rewbla,savspa,sora,spotow,treswa,daejun,yerwar,vigswa,warvir,wilsni1,wlswar,yelwar",1,10211258010,5.18100000000004
gurobi,0.9,41,50000,"amegfi,amekes,barswa,brdowl,belkin1,bnhcow,brebla,brncre,chbchi,cedwax,coohaw,dowwoo,eursta,evegro,foxspa,gockin,haiwoo,houspa,macwar,moudov,orcwar,olsfly,osprey,pasfly,purfin,rebnut,rebsap,redcro,rethaw,rufhum,sora,sonspa,towwar,treswa,daejun,varthr,warvir,whcspa,westan,wooduc,yelwar",1,16063998852,4.461999999999989
