solver,target,n_features,n_pu,species,n_solutions,cost,time
gurobi,0.1,10,9282,"amegfi,batpig1,comrav,houwre,hutvir,olsfly,pilwoo,rethaw,swathr,westan",1,3452504,0.27400000000488944
gurobi,0.2,10,9282,"amekes,barswa,coohaw,amecro,houfin,moudov,osprey,spotow,towwar,whcspa",1,18257373,0.3600000000005821
gurobi,0.30000000000000004,10,9282,"amegfi,barswa,belkin1,bewwre,bnhcow,brebla,macwar,rebsap,towwar,westan",1,23918078,0.26600000000325963
gurobi,0.4,10,9282,"baleag,barswa,batpig1,comrav,norfli,houfin,moudov,rufhum,sora,whcspa",1,113437770,0.2849999999962165
gurobi,0.5,10,9282,"bnhcow,batpig1,chispa,amecro,haiwoo,pacwre1,redcro,stejay,treswa,warvir",1,166181393,0.29499999999825377
gurobi,0.6,10,9282,"baleag,batpig1,orcwar,pilwoo,pasfly,purfin,savspa,sonspa,stejay,wooduc",1,147783551,0.3610000000044238
gurobi,0.7000000000000001,10,9282,"bewwre,brncre,houspa,pacwre1,pinsis,purfin,purmar,rebnut,rethaw,warvir",1,1124458680,0.22100000000500586
gurobi,0.8,10,9282,"baleag,chispa,haiwoo,houfin,hutvir,norhar1,purfin,yerwar,vigswa,whcspa",1,1624446651,0.22700000000622822
gurobi,0.9,10,9282,"amegfi,amekes,barswa,bewwre,eursta,macwar,redcro,daejun,varthr,wlswar",1,2196465790,0.3280000000013388
gurobi,0.1,26,9282,"amerob,baleag,barswa,brdowl,batpig1,cangoo,cedwax,comrav,dowwoo,eucdov,eursta,houspa,houwre,hutvir,norhar1,purfin,purmar,rebsap,rufhum,swathr,treswa,daejun,varthr,whcspa,westan,yelwar",1,5625232,0.5679999999993015
gurobi,0.2,26,9282,"amegfi,annhum,bnhcow,batpig1,cangoo,chispa,comrav,amecro,eucdov,eursta,gockin,haiwoo,houwre,macwar,pinsis,pasfly,purfin,purmar,rewbla,savspa,treswa,daejun,varthr,vigswa,warvir,westan",1,26157274,0.7710000000006403
gurobi,0.30000000000000004,26,9282,"baleag,barswa,belkin1,bkhgro,bushti,cangoo,chispa,amecro,eursta,evegro,foxspa,gockin,houspa,hutvir,purfin,purmar,rebsap,rewbla,sonspa,treswa,daejun,varthr,warvir,whcspa,wlswar,yelwar",1,58434853,0.669000000001688
gurobi,0.4,26,9282,"amekes,amerob,barswa,brdowl,brebla,batpig1,chbchi,cedwax,chispa,norfli,gockin,houwre,hutvir,orcwar,purmar,rebsap,rufhum,sonspa,stejay,swathr,treswa,yerwar,whcspa,wilsni1,wooduc,yelwar",1,53156854,0.6670000000012806
gurobi,0.5,26,9282,"annhum,brdowl,bnhcow,bkhgro,chbchi,eucdov,evegro,norfli,houfin,houspa,orcwar,pacwre1,pasfly,purmar,rebnut,rebsap,redcro,spotow,towwar,daejun,vigswa,warvir,whcspa,westan,wooduc,yelwar",1,300286531,2.794000000001688
gurobi,0.6,26,9282,"baleag,bewwre,bnhcow,brncre,batpig1,chbchi,chispa,amecro,dowwoo,eursta,evegro,houfin,hutvir,macwar,moudov,pinsis,purfin,purmar,rebsap,redcro,rethaw,sora,swathr,treswa,varthr,wooduc",1,425432342,1.0729999999966822
gurobi,0.7000000000000001,26,9282,"amerob,baleag,barswa,comrav,amecro,eucdov,eursta,norfli,foxspa,haiwoo,houfin,orcwar,pacwre1,purfin,redcro,sora,sonspa,spotow,stejay,swathr,towwar,yerwar,varthr,wilsni1,wlswar,wooduc",1,885239861,0.6330000000016298
gurobi,0.8,26,9282,"amegfi,amekes,barswa,brdowl,belkin1,bkhgro,chbchi,evegro,foxspa,haiwoo,macwar,norhar1,olsfly,pinsis,pasfly,rocpig,rufhum,rewbla,savspa,spotow,swathr,daejun,varthr,vigswa,westan,wilsni1",1,1654206268,0.7379999999975553
gurobi,0.9,26,9282,"amekes,amerob,brdowl,bewwre,brebla,chbchi,coohaw,amecro,dowwoo,evegro,foxspa,houfin,hutvir,macwar,norhar1,osprey,pacwre1,rebnut,rebsap,rocpig,rewbla,savspa,treswa,daejun,whcspa,westan",1,2815625140,0.6749999999956344
gurobi,0.1,41,9282,"annhum,barswa,brdowl,belkin1,bkhgro,batpig1,chbchi,chispa,coohaw,comrav,amecro,dowwoo,eucdov,foxspa,gockin,haiwoo,houspa,houwre,hutvir,moudov,norhar1,pinsis,pasfly,purfin,purmar,rebnut,rebsap,redcro,rocpig,rethaw,rufhum,savspa,spotow,towwar,treswa,daejun,yerwar,vigswa,warvir,wooduc,yelwar",1,7335630,0.694999999999709
gurobi,0.2,41,9282,"amegfi,amerob,brdowl,belkin1,bewwre,bkhgro,brncre,batpig1,chispa,coohaw,comrav,amecro,eursta,foxspa,houfin,houspa,hutvir,macwar,orcwar,osprey,pacwre1,pinsis,pilwoo,purfin,purmar,rebsap,redcro,rufhum,rewbla,savspa,spotow,stejay,swathr,towwar,daejun,yerwar,varthr,vigswa,warvir,westan,wlswar",1,22585362,0.9170000000012806
gurobi,0.30000000000000004,41,9282,"amegfi,amekes,amerob,annhum,belkin1,bewwre,bnhcow,batpig1,cangoo,chbchi,coohaw,amecro,dowwoo,eursta,evegro,norfli,gockin,haiwoo,houfin,houwre,osprey,pacwre1,pinsis,pasfly,purfin,purmar,rebsap,rocpig,rufhum,rewbla,sora,sonspa,spotow,swathr,treswa,yerwar,vigswa,warvir,westan,wlswar,wooduc",1,66744054,0.9349999999976717
gurobi,0.4,41,9282,"amekes,annhum,bnhcow,bkhgro,brebla,brncre,bushti,cedwax,coohaw,amecro,dowwoo,eucdov,foxspa,gockin,haiwoo,houwre,macwar,moudov,olsfly,osprey,pacwre1,pilwoo,pasfly,purfin,purmar,rebnut,rebsap,rocpig,rufhum,rewbla,sora,sonspa,spotow,stejay,swathr,treswa,daejun,yerwar,varthr,whcspa,yelwar",1,131245349,0.9690000000045984
gurobi,0.5,41,9282,"amegfi,amekes,baleag,brdowl,belkin1,bewwre,bkhgro,brebla,brncre,batpig1,cedwax,coohaw,comrav,eursta,evegro,norfli,foxspa,gockin,haiwoo,houwre,macwar,moudov,norhar1,olsfly,osprey,pacwre1,pilwoo,purfin,rebnut,rebsap,rocpig,rufhum,savspa,sora,sonspa,swathr,varthr,vigswa,warvir,westan,yelwar",1,214416586,0.9579999999987194
gurobi,0.6,41,9282,"amekes,amerob,annhum,baleag,bewwre,bkhgro,batpig1,bushti,chbchi,cedwax,chispa,coohaw,comrav,eucdov,eursta,evegro,norfli,foxspa,gockin,haiwoo,houwre,hutvir,osprey,pinsis,pasfly,purfin,rebsap,rocpig,rethaw,rewbla,savspa,sora,spotow,stejay,swathr,daejun,yerwar,vigswa,whcspa,westan,wilsni1",1,478959894,0.8960000000006403
